시도,합계,월,시군구
강원특별자치도,468500,201805,강릉
강원특별자치도,38735,201805,고성
강원특별자치도,138331,201805,동해
강원특별자치도,28357,201805,삼척
강원특별자치도,167208,201805,속초
강원특별자치도,10928,201805,양구
강원특별자치도,30423,201805,양양
강원특별자치도,10835,201805,영월
강원특별자치도,892922,201805,원주
강원특별자치도,12723,201805,인제
강원특별자치도,16583,201805,정선
강원특별자치도,26496,201805,철원
강원특별자치도,755249,201805,춘천
강원특별자치도,46937,201805,태백
강원특별자치도,12507,201805,평창
강원특별자치도,39765,201805,홍천
강원특별자치도,13996,201805,화천
강원특별자치도,34276,201805,횡성
충청북도,33006,201805,괴산
충청북도,31496,201805,단양
충청북도,37662,201805,보은
충청북도,58176,201805,옥천
충청북도,2597,201805,음성
충청북도,219886,201805,제천
충청북도,109462,201805,증평
충청북도,95274,201805,진천
충청북도,2626961,201805,청주
충청북도,17011,201805,충주
충청남도,73963,201805,계룡
충청남도,184582,201805,공주
충청남도,56461,201805,금산
충청남도,158295,201805,논산
충청남도,244982,201805,당진
충청남도,143480,201805,보령
충청남도,69677,201805,부여
충청남도,214920,201805,서산
충청남도,40705,201805,서천
충청남도,781784,201805,아산
충청남도,95848,201805,예산
충청남도,2678267,201805,천안
충청남도,17979,201805,청양
충청남도,49479,201805,태안
충청남도,87473,201805,홍성
전라북도,43,201805,고창
전라북도,364251,201805,군산
전라북도,62697,201805,김제
전라북도,63403,201805,남원
전라북도,620,201805,무주
전라북도,27337,201805,부안
전라북도,22737,201805,순창
전라북도,181400,201805,완주
전라북도,567487,201805,익산
전라북도,15960,201805,임실
전라북도,166,201805,장수
전라북도,1828448,201805,전주
전라북도,96179,201805,정읍
전라북도,37990,201805,진안
전라남도,2472,201805,강진
전라남도,20062,201805,고흥
전라남도,4367,201805,곡성
전라남도,154404,201805,광양
전라남도,7993,201805,구례
전라남도,496251,201805,나주
전라남도,112200,201805,담양
전라남도,480829,201805,목포
전라남도,98627,201805,무안
전라남도,31817,201805,보성
전라남도,760946,201805,순천
전라남도,6603,201805,신안
전라남도,795613,201805,여수
전라남도,11930,201805,영광
전라남도,37957,201805,영암
전라남도,6540,201805,완도
전라남도,52368,201805,장성
전라남도,19,201805,장흥
전라남도,49177,201805,함평
전라남도,11765,201805,해남
전라남도,255975,201805,화순
경상북도,1361454,201805,경산
경상북도,517692,201805,경주
경상북도,38905,201805,고령
경상북도,737817,201805,구미
경상북도,17,201805,군위
경상북도,219360,201805,김천
경상북도,43604,201805,문경
경상북도,4943,201805,봉화
경상북도,33933,201805,상주
경상북도,21893,201805,성주
경상북도,355137,201805,안동
경상북도,3,201805,영덕
경상북도,94939,201805,영주
경상북도,159688,201805,영천
경상북도,31640,201805,예천
경상북도,11265,201805,울릉
경상북도,20423,201805,울진
경상북도,14720,201805,의성
경상북도,14643,201805,청도
경상북도,189,201805,청송
경상북도,77864,201805,칠곡
경상북도,966013,201805,포항
경상남도,425558,201805,거제
경상남도,1668,201805,고성
경상남도,1862596,201805,김해
경상남도,1792,201805,남해
경상남도,82228,201805,밀양
경상남도,54185,201805,사천
경상남도,173,201805,산청
경상남도,1754163,201805,양산
경상남도,2219,201805,의령
경상남도,1185375,201805,진주
경상남도,361,201805,창녕
경상남도,3745273,201805,창원
경상남도,416896,201805,통영
경상남도,841,201805,하동
경상남도,51971,201805,함안
경상남도,395,201805,합천
제주특별자치도,505763,201805,서귀포
제주특별자치도,1685856,201805,제주
광주광역시,5734610,201806,광주광역시
대구광역시,13202360,201806,대구광역시
대전광역시,6841774,201806,대전광역시
부산광역시,28669782,201806,부산광역시
서울특별시,118343686,201806,서울특별시
세종특별자치시,586632,201806,세종특별자치시
울산광역시,3752819,201806,울산광역시
